start,end,speed_mean,speed_max,jitter_mean,jitter_p90,rot_abs_mean,zoom,sharp_mean,sharp_min,bright,contrast,framediff,ntrack
54.0,55.0,4.47,6.48,0.458,0.965,0.148,1.2355,360.4,275.2,130.7,77.2,10.2,355
55.0,56.0,2.69,4.39,0.374,1.176,0.081,1.2076,665.9,427.9,133.3,70.9,8.96,375
56.0,57.0,3.73,7.55,0.491,0.886,0.13,1.1276,759.5,623.9,117.1,68.7,11.18,392
57.0,58.0,7.92,9.23,0.285,0.467,0.308,1.1522,606.5,430.9,92.2,67.1,14.33,390
58.0,59.0,3.24,5.4,0.32,0.571,0.051,1.0674,357.6,239.5,87.6,55.1,9.5,390
59.0,60.0,10.05,13.51,0.546,0.977,0.32,1.0338,355.9,258.4,105.2,53.0,15.82,354
60.0,61.0,10.04,12.74,0.236,0.406,0.275,1.0509,488.9,384.3,95.9,62.5,20.44,382
61.0,62.0,5.39,8.64,0.475,0.825,0.101,1.0632,261.2,199.1,85.8,55.5,12.79,378
62.0,63.0,4.81,6.18,0.514,0.786,0.019,1.1039,218.2,185.2,100.9,54.6,11.69,357
63.0,64.0,5.88,7.13,0.316,0.48,0.088,1.0681,184.0,132.1,106.3,54.1,12.57,386
64.0,65.0,11.5,15.45,1.099,2.191,0.104,1.1064,107.3,70.7,119.3,55.1,10.09,348
65.0,66.0,4.42,8.32,0.948,1.724,0.604,1.1416,65.7,56.1,112.0,54.7,8.11,248
66.0,67.0,6.55,9.79,1.777,2.81,0.94,1.1039,74.8,60.1,124.0,71.4,10.21,219
67.0,68.0,7.44,13.83,1.624,5.276,0.113,0.8568,489.9,155.8,126.0,73.1,19.43,343
68.0,69.0,6.22,7.79,0.327,0.53,0.071,0.9066,1073.8,873.8,127.6,69.4,31.55,384
69.0,70.0,4.02,7.46,0.414,0.705,0.07,1.0568,989.5,869.7,142.2,59.5,23.76,397
70.0,71.0,2.83,3.61,0.257,0.564,0.066,1.1813,1109.2,939.0,132.7,59.7,15.25,389
71.0,72.0,3.08,3.73,0.375,0.622,0.119,1.2515,969.1,859.2,125.0,62.8,18.1,378
72.0,73.0,3.57,4.82,0.265,0.454,0.055,1.2317,1049.9,911.6,118.1,70.3,21.27,387
73.0,74.0,4.75,5.36,0.167,0.26,0.06,1.2625,875.4,761.0,121.5,74.2,22.66,390
74.0,75.0,3.13,3.69,0.344,0.632,0.039,1.2978,731.2,645.0,124.8,73.4,18.82,375
75.0,76.0,4.54,6.3,0.674,1.183,0.087,1.3609,589.9,514.7,129.6,69.5,15.77,350
76.0,77.0,4.31,6.06,0.909,2.418,0.04,1.2234,431.5,386.0,129.6,65.2,12.05,306
