frame,t,dx,dy,rot_deg,scale,ntrack,framediff,sharpness,brightness,contrast
201,6.717,-6.066,0.023,-0.2098,1.0026,134,5.594,145.81,118.06,41.17
202,6.75,-6.169,-0.035,-0.2082,1.0029,133,5.653,149.21,118.07,41.1
203,6.783,-6.256,-0.119,-0.2175,1.0032,128,5.661,147.35,117.96,40.98
204,6.817,-6.267,-0.04,-0.2306,1.0031,136,5.57,160.8,117.9,40.88
205,6.85,-6.269,-0.173,-0.2118,1.0035,137,5.521,143.75,118.03,40.72
206,6.884,-6.371,-0.008,-0.2395,1.0033,135,5.568,135.0,118.21,40.54
207,6.917,-6.333,0.115,-0.2414,1.0032,144,5.436,133.95,118.24,40.44
208,6.95,-6.203,0.033,-0.2435,1.0035,137,5.735,141.05,118.5,40.21
209,6.984,-6.137,-0.126,-0.2455,1.0039,129,5.502,137.27,119.02,40.06
210,7.017,-5.663,-0.174,-0.2004,1.0036,137,5.329,136.53,119.21,39.85
211,7.051,-5.4,-0.067,-0.2001,1.0033,142,4.938,133.01,119.25,39.68
212,7.084,-5.429,-0.196,-0.204,1.0037,128,4.768,131.03,119.3,39.61
213,7.118,-5.194,-0.164,-0.1926,1.0035,135,4.471,122.57,119.56,39.6
214,7.151,-4.986,-0.007,-0.1657,1.0029,139,4.967,120.77,120.58,39.45
215,7.184,-5.213,-0.315,-0.1585,1.0036,141,4.67,116.01,120.37,39.22
216,7.218,-5.194,-0.186,-0.1693,1.0032,140,4.651,114.92,120.78,39.04
217,7.251,-5.128,-0.287,-0.1355,1.0033,139,4.612,110.64,120.86,38.85
218,7.285,-5.306,-0.294,-0.1558,1.0037,140,4.662,106.38,121.47,38.7
219,7.318,-5.593,-0.433,-0.1641,1.004,139,4.631,105.86,121.17,38.48
220,7.351,-5.377,-0.345,-0.1427,1.0033,140,4.576,100.54,120.89,38.32
221,7.385,-5.455,-0.231,-0.1412,1.0033,138,4.377,95.69,120.73,38.15
222,7.418,-5.626,-0.183,-0.1528,1.0031,146,4.575,87.25,121.08,37.96
223,7.452,-5.86,-0.23,-0.1669,1.0033,145,4.656,89.79,120.84,37.56
224,7.485,-5.79,-0.287,-0.1375,1.003,149,4.603,94.85,121.1,37.3
225,7.519,-5.783,-0.24,-0.139,1.0029,148,4.9,93.24,121.97,37.0
226,7.552,-5.915,-0.218,-0.1496,1.0031,135,5.078,88.69,123.18,36.79
227,7.585,-5.809,-0.154,-0.1385,1.0027,138,4.35,83.88,123.54,36.66
228,7.619,-5.951,-0.135,-0.138,1.0028,141,4.592,80.76,124.14,36.45
229,7.652,-6.079,-0.073,-0.1478,1.0028,138,4.435,84.83,124.19,36.35
230,7.686,-6.192,-0.345,-0.1434,1.0034,129,4.291,86.55,123.96,36.21
231,7.719,-6.136,-0.111,-0.1513,1.0026,133,4.29,77.88,123.83,36.12
232,7.752,-6.087,-0.142,-0.1261,1.0027,119,4.293,75.33,123.9,36.14
233,7.786,-6.343,0.04,-0.1555,1.0021,128,4.113,78.03,123.65,36.02
234,7.819,-6.48,-0.176,-0.1549,1.0025,117,4.299,84.49,123.87,35.9
235,7.853,-6.349,-0.023,-0.1442,1.002,115,4.342,85.4,124.5,35.78
